Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,TotalGoals,prob_H_norm,prob_D_norm,prob_A_norm
2020-09-12,2020-21,Eibar,Celta,0,0,D,8,6,1,3,3,3,4,4,1,0,2.5,3.25,2.9,0,0.3800403225806452,0.2923387096774194,0.3276209677419355
2020-09-12,2020-21,Granada,Ath Bilbao,2,0,H,4,9,2,2,1,2,3,4,0,0,2.75,3.1,2.75,2,0.3463687150837989,0.30726256983240224,0.3463687150837989
2020-09-12,2020-21,Cadiz,Osasuna,0,2,A,12,6,3,4,6,2,2,2,0,0,2.8,3.0,2.75,2,0.33880903490759756,0.3162217659137577,0.3449691991786448
2020-09-13,2020-21,Alaves,Betis,0,1,A,7,11,2,4,6,4,3,3,0,0,2.8,3.2,2.6,1,0.33876221498371334,0.29641693811074915,0.3648208469055374
2020-09-13,2020-21,Valladolid,Sociedad,1,1,D,8,8,3,2,5,3,4,1,0,0,2.8,3.2,2.6,2,0.33876221498371334,0.29641693811074915,0.3648208469055374
2020-09-13,2020-21,Villarreal,Huesca,1,1,D,15,10,4,3,6,6,1,1,0,0,1.57,4.0,6.0,2,0.6045340050377834,0.23727959697732998,0.15818639798488665
2020-09-13,2020-21,Valencia,Levante,4,2,H,14,19,8,8,3,4,1,3,0,0,2.1,3.5,3.5,6,0.4545454545454546,0.27272727272727276,0.27272727272727276
2020-09-19,2020-21,Villarreal,Eibar,2,1,H,14,12,8,4,4,3,1,1,0,0,1.57,4.0,6.0,3,0.6045340050377834,0.23727959697732998,0.15818639798488665
2020-09-19,2020-21,Getafe,Osasuna,1,0,H,7,10,1,3,4,1,4,2,0,0,1.95,3.25,4.33,1,0.4877224600135166,0.29263347600810996,0.2196440639783735
2020-09-19,2020-21,Celta,Valencia,2,1,H,23,9,6,3,6,6,3,1,0,0,2.2,3.6,3.1,3,0.4308880308880309,0.2633204633204634,0.3057915057915058
2020-09-20,2020-21,Granada,Alaves,2,1,H,10,5,3,3,4,4,0,3,0,0,2.05,3.1,4.2,3,0.46524924066464185,0.30766482043952115,0.22708593889583706
2020-09-20,2020-21,Sociedad,Real Madrid,0,0,D,6,16,1,4,1,11,2,2,0,0,4.75,3.8,1.72,0,0.19953596287703013,0.24941995359628769,0.5510440835266821
2020-09-20,2020-21,Huesca,Cadiz,0,2,A,4,6,0,4,2,1,3,3,0,0,2.1,3.1,4.0,2,0.4540461369461735,0.3075796411570853,0.23837422189674112
2020-09-20,2020-21,Betis,Valladolid,2,0,H,16,9,6,2,5,3,3,0,0,0,1.85,3.6,4.33,2,0.5151610291323099,0.2647355288596593,0.22010344200803078
2020-09-26,2020-21,Alaves,Getafe,0,0,D,9,11,0,4,1,5,2,2,0,0,3.5,2.9,2.37,0,0.2714669405166285,0.32763251441662067,0.40090054506675094
2020-09-26,2020-21,Valencia,Huesca,1,1,D,5,17,2,4,4,4,0,1,0,0,2.0,3.4,4.0,2,0.4788732394366197,0.28169014084507044,0.23943661971830985
2020-09-26,2020-21,Elche,Sociedad,0,3,A,5,27,2,7,2,11,3,1,0,0,4.2,3.3,1.95,3,0.22590837282780407,0.287519747235387,0.48657187993680884
2020-09-26,2020-21,Betis,Real Madrid,2,3,A,15,11,5,4,8,3,5,2,1,0,4.0,4.0,1.8,5,0.23684210526315788,0.23684210526315788,0.5263157894736842
2020-09-27,2020-21,Osasuna,Levante,1,3,A,9,11,4,5,3,7,2,0,0,0,2.3,3.2,3.25,4,0.41212601545472566,0.29621557360808404,0.2916584109371904
2020-09-27,2020-21,Eibar,Ath Bilbao,1,2,A,7,9,1,5,5,4,1,0,0,0,3.0,3.0,2.55,3,0.31481481481481477,0.31481481481481477,0.3703703703703704
2020-09-27,2020-21,Ath Madrid,Granada,6,1,H,17,11,10,6,1,1,3,1,0,0,1.5,4.0,7.5,7,0.6349206349206349,0.23809523809523808,0.12698412698412698
2020-09-27,2020-21,Cadiz,Sevilla,1,3,A,12,14,5,5,6,5,4,2,0,0,5.0,3.6,1.7,4,0.187614960147149,0.26057633353770693,0.5518087063151441
2020-09-27,2020-21,Valladolid,Celta,1,1,D,10,5,4,1,4,1,3,4,0,0,2.8,3.0,2.7,2,0.3366583541147132,0.31421446384039897,0.34912718204488774
2020-09-27,2020-21,Barcelona,Villarreal,4,0,H,17,5,9,1,8,4,0,1,0,0,1.53,4.33,6.0,4,0.6217557060086298,0.21969658895916944,0.15854770503220061
2020-09-29,2020-21,Sociedad,Valencia,0,1,A,11,9,3,5,9,3,1,5,0,0,1.53,4.2,5.75,1,0.6133566993028307,0.22343708331745973,0.16320621737970972
2020-09-29,2020-21,Getafe,Betis,3,0,H,8,10,4,2,1,4,4,4,0,1,2.45,3.1,3.0,3,0.3835842441740565,0.303155289750464,0.3132604660754795
2020-09-30,2020-21,Real Madrid,Valladolid,1,0,H,15,11,5,5,4,7,2,1,0,0,1.22,6.0,11.0,1,0.7608946276227807,0.15471524094996542,0.08439013142725386
2020-09-30,2020-21,Eibar,Elche,0,1,A,12,5,4,2,3,2,2,2,0,0,1.8,3.5,4.5,1,0.5223880597014926,0.26865671641791045,0.208955223880597
2020-09-30,2020-21,Villarreal,Alaves,3,1,H,10,8,6,3,2,0,0,2,0,0,1.57,3.8,5.75,4,0.5930489774315686,0.24502286699146386,0.1619281555769674
