Date,Season,HomeTeam,AwayTeam,diff_avg_points,diff_avg_goals_scored,diff_avg_goals_conceded,diff_win_rate,diff_table_position,diff_cumul_points,diff_points_per_game,diff_days_rest,home_attack_vs_away_defense,away_attack_vs_home_defense,home_avg_goals_scored,home_avg_goals_conceded,home_win_rate,home_clean_sheet_rate,home_table_position,away_avg_goals_scored,away_avg_goals_conceded,away_win_rate,away_clean_sheet_rate,away_table_position,home_matchday,FTR,B365H,B365D,B365A
2020-09-26,2020-21,Alaves,Getafe,-3.0,-0.5,1.5,-1.0,12.0,-3.0,-3.0,-1.0,0.5,-0.5,0.5,1.5,0.0,0.0,19.0,1.0,0.0,1.0,1.0,7.0,3,D,3.5,2.9,2.37
2020-10-04,2020-21,Alaves,Ath Bilbao,-0.75,-0.16666666666666663,0.16666666666666674,-0.3333333333333333,2.0,-2.0,-0.75,1.0,-0.8333333333333333,-0.8333333333333334,0.5,1.5,0.0,0.25,20.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,18.0,5,H,3.3,2.9,2.37
2020-10-18,2020-21,Alaves,Elche,-0.5333333333333332,0.26666666666666666,0.19999999999999996,-0.1333333333333333,1.0,0.0,-0.5333333333333332,-1.0,-0.4,-0.8666666666666667,0.6,1.2,0.2,0.4,17.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,16.0,6,A,1.75,3.3,5.5
2020-10-31,2020-21,Alaves,Barcelona,0.0,-1.0,0.0,0.0,3.0,0.0,-0.3999999999999999,-1.0,-0.19999999999999996,0.8,0.8,1.0,0.4,0.6,15.0,1.8,1.0,0.4,0.4,12.0,8,D,6.5,4.75,1.44
2020-11-22,2020-21,Alaves,Valencia,0.8,-0.6000000000000001,-1.0,0.2,4.0,-2.0,-0.22222222222222232,0.0,-0.8,0.8,1.0,0.8,0.4,0.4,15.0,1.6,1.8,0.2,0.0,11.0,10,D,2.7,3.2,2.8
2020-12-06,2020-21,Alaves,Sociedad,-0.8,-0.7999999999999998,0.4,-0.4,10.0,-11.0,-0.9999999999999998,1.0,1.0,1.4,1.6,1.0,0.4,0.2,12.0,2.4,0.6,0.8,0.4,2.0,12,D,4.75,3.5,1.8
2020-12-23,2020-21,Alaves,Eibar,-0.19999999999999996,0.0,0.3999999999999999,0.0,2.0,-1.0,-0.0714285714285714,0.0,0.0,-0.3999999999999999,0.8,1.2,0.2,0.2,17.0,0.8,0.8,0.2,0.6,15.0,15,H,2.75,2.87,2.9
2021-01-03,2020-21,Alaves,Ath Madrid,-1.4,-1.0,0.4,-0.6000000000000001,11.0,-17.0,-1.375,-1.0,0.0,0.6000000000000001,0.6,1.0,0.2,0.2,13.0,1.6,0.6,0.8,0.6,2.0,17,A,7.0,3.75,1.53
2021-01-19,2020-21,Alaves,Sevilla,-1.2,-0.3999999999999999,0.8,-0.39999999999999997,10.0,-12.0,-0.7647058823529411,2.0,0.0,-0.40000000000000013,1.0,1.8,0.2,0.0,16.0,1.4,1.0,0.6,0.4,6.0,19,A,5.5,3.6,1.66
2021-01-23,2020-21,Alaves,Real Madrid,-1.4000000000000001,-0.40000000000000013,1.4,-0.39999999999999997,15.0,-19.0,-1.108187134502924,-10.0,0.7999999999999999,-0.19999999999999996,1.2,1.8,0.2,0.0,17.0,1.6,0.4,0.6,0.6,2.0,20,A,5.5,4.33,1.55
