Date,Season,League,HomeTeam,AwayTeam,FTHG,FTAG,FTR,diff_avg_points,diff_avg_goals_scored,diff_avg_goals_conceded,diff_table_position,diff_days_rest,home_attack_vs_away_defense,away_attack_vs_home_defense,home_avg_goals_scored,home_avg_goals_conceded,home_win_rate,home_clean_sheet_rate,home_table_position,away_avg_goals_scored,away_avg_goals_conceded,away_win_rate,away_clean_sheet_rate,away_table_position,home_matchday,league_Bundesliga,league_La Liga,league_Ligue 1,league_Premier League,league_Serie A,B365H,B365D,B365A
2020-09-26,2020-21,Bundesliga,Augsburg,Dortmund,2,0,H,0.0,0.0,1.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,3.0,2,True,False,False,False,False,7.0,4.75,1.44
2020-10-17,2020-21,Bundesliga,Augsburg,RB Leipzig,0,2,A,0.0,-0.9999999999999998,-0.3333333333333333,1.0,-1.0,1.0,2.333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,4,True,False,False,False,False,5.75,4.5,1.53
2020-10-31,2020-21,Bundesliga,Augsburg,Mainz,3,1,H,1.4,0.3999999999999999,-1.8,-7.0,-2.0,-1.8,-0.3999999999999999,1.2,1.2,0.4,0.4,11.0,0.8,3.0,0.0,0.0,18.0,6,True,False,False,False,False,2.0,3.75,3.5
2020-11-07,2020-21,Bundesliga,Augsburg,Hertha,0,3,A,1.2,0.0,-1.2,-8.0,1.0,-1.2,0.0,1.2,1.2,0.4,0.4,6.0,1.2,2.4,0.0,0.0,14.0,7,True,False,False,False,False,2.9,3.5,2.3
2020-11-28,2020-21,Bundesliga,Augsburg,Freiburg,1,1,D,0.4,0.0,-0.3999999999999999,-5.0,1.0,-1.4,-1.0,1.0,2.0,0.2,0.0,9.0,1.0,2.4,0.0,0.0,14.0,9,True,False,False,False,False,2.37,3.5,2.9
2020-12-13,2020-21,Bundesliga,Augsburg,Schalke 04,2,2,D,0.6,0.3999999999999999,-0.5999999999999999,-6.0,-1.0,-1.2,-1.0,1.2,1.8,0.2,0.0,12.0,0.8,2.4,0.0,0.0,18.0,11,True,False,False,False,False,1.9,3.75,3.8
2020-12-19,2020-21,Bundesliga,Augsburg,Ein Frankfurt,0,2,A,0.3999999999999999,-0.6000000000000001,-0.6000000000000001,-1.0,-1.0,-0.8,0.40000000000000013,1.2,1.4,0.2,0.2,9.0,1.8,2.0,0.0,0.0,10.0,13,True,False,False,False,False,3.8,3.75,1.95
2021-01-10,2020-21,Bundesliga,Augsburg,Stuttgart,1,4,A,0.0,-0.8,0.19999999999999996,-1.0,0.0,-0.19999999999999996,0.40000000000000013,1.0,1.4,0.4,0.4,10.0,1.8,1.2,0.4,0.0,11.0,15,True,False,False,False,False,3.25,3.6,2.1
2021-01-20,2020-21,Bundesliga,Augsburg,Bayern Munich,0,1,A,-1.2,-2.0,0.0,11.0,1.0,-1.0,1.0,0.6,1.6,0.4,0.4,12.0,2.6,1.6,0.8,0.0,1.0,17,True,False,False,False,False,13.0,7.0,1.2
2021-01-23,2020-21,Bundesliga,Augsburg,Union Berlin,2,1,H,-1.4,-0.9999999999999999,1.0,5.0,0.0,-0.4,-0.40000000000000013,0.4,1.8,0.2,0.2,12.0,1.4,0.8,0.6,0.4,7.0,18,True,False,False,False,False,3.75,3.4,2.05
2021-02-06,2020-21,Bundesliga,Augsburg,Wolfsburg,0,2,A,-1.6,-1.2,1.4000000000000001,10.0,1.0,0.0,-0.20000000000000018,0.8,2.2,0.2,0.0,13.0,2.0,0.8,0.6,0.6,3.0,20,True,False,False,False,False,4.75,3.6,1.75
2021-02-21,2020-21,Bundesliga,Augsburg,Leverkusen,1,1,D,-0.7999999999999999,-1.0,0.40000000000000013,8.0,1.0,-0.5999999999999999,0.0,0.8,1.8,0.2,0.0,13.0,1.8,1.4,0.4,0.0,5.0,22,True,False,False,False,False,5.5,4.0,1.61
2021-03-12,2020-21,Bundesliga,Augsburg,M'gladbach,3,1,H,0.6000000000000001,0.0,-0.20000000000000018,3.0,0.0,-0.8,-0.5999999999999999,0.8,1.4,0.2,0.2,13.0,0.8,1.6,0.0,0.2,10.0,25,True,False,False,False,False,4.0,3.8,1.85
2021-04-03,2020-21,Bundesliga,Augsburg,Hoffenheim,2,1,H,0.0,-0.40000000000000013,0.0,2.0,0.0,0.0,0.40000000000000013,1.2,1.2,0.4,0.2,13.0,1.6,1.2,0.4,0.2,11.0,27,True,False,False,False,False,3.6,3.8,1.9
2021-04-17,2020-21,Bundesliga,Augsburg,Bielefeld,0,0,D,-0.19999999999999996,0.3999999999999999,0.3999999999999999,-4.0,-2.0,0.19999999999999996,-0.5999999999999999,1.2,1.4,0.4,0.0,12.0,0.8,1.0,0.4,0.2,16.0,29,True,False,False,False,False,2.45,3.3,2.9
2021-04-23,2020-21,Bundesliga,Augsburg,FC Koln,2,3,A,0.0,-0.7999999999999999,-0.8,-5.0,0.0,-1.6,0.0,0.4,1.2,0.2,0.2,12.0,1.2,2.0,0.2,0.0,17.0,31,True,False,False,False,False,2.87,3.3,2.45
2021-05-15,2020-21,Bundesliga,Augsburg,Werder Bremen,2,0,H,0.0,0.0,-0.7999999999999998,-1.0,1.0,-1.7999999999999998,-1.0,0.6,1.6,0.0,0.2,14.0,0.6,2.4,0.0,0.2,15.0,33,True,False,False,False,False,2.45,3.25,3.0
2021-08-14,2021-22,Bundesliga,Augsburg,Hoffenheim,0,4,A,-1.6,-0.8000000000000003,1.0,-7.0,0.0,0.0,-0.19999999999999973,1.4,2.4,0.2,0.2,3.0,2.2,1.4,0.6,0.0,10.0,1,True,False,False,False,False,3.2,3.75,2.1
2021-08-28,2021-22,Bundesliga,Augsburg,Leverkusen,1,4,A,-0.3999999999999999,-0.3999999999999999,1.2000000000000002,14.0,0.0,0.0,-0.8000000000000003,1.0,2.2,0.2,0.4,17.0,1.4,1.0,0.2,0.4,3.0,3,True,False,False,False,False,4.75,3.8,1.72
2021-09-18,2021-22,Bundesliga,Augsburg,M'gladbach,1,0,H,-0.9999999999999999,-1.2000000000000002,0.6000000000000001,5.0,1.0,-1.4,-0.8,0.6,2.6,0.0,0.4,17.0,1.8,2.0,0.4,0.0,12.0,5,True,False,False,False,False,4.2,4.0,1.8
2021-10-17,2021-22,Bundesliga,Augsburg,Bielefeld,1,1,D,0.4,0.19999999999999996,0.0,-1.0,1.0,-1.2000000000000002,-1.4,0.6,1.8,0.2,0.4,16.0,0.4,1.8,0.0,0.2,17.0,8,True,False,False,False,False,2.25,3.2,3.4
2021-10-31,2021-22,Bundesliga,Augsburg,Stuttgart,4,1,H,-0.3999999999999999,-0.3999999999999999,0.8,3.0,2.0,-0.3999999999999999,-0.8,0.8,2.0,0.2,0.2,16.0,1.2,1.2,0.2,0.2,13.0,10,True,False,False,False,False,3.0,3.3,2.4
2021-11-19,2021-22,Bundesliga,Augsburg,Bayern Munich,2,1,H,-1.5999999999999999,-2.0,0.6000000000000001,15.0,0.0,0.19999999999999996,1.5999999999999999,1.4,1.8,0.2,0.0,16.0,3.4,1.2,0.8,0.2,1.0,12,True,False,False,False,False,15.0,8.0,1.16
2021-12-04,2021-22,Bundesliga,Augsburg,Bochum,2,3,A,-0.40000000000000013,0.20000000000000018,0.8,3.0,0.0,0.8,-0.20000000000000018,1.6,1.6,0.4,0.0,16.0,1.4,0.8,0.6,0.4,13.0,14,True,False,False,False,False,2.3,3.4,3.1
2021-12-15,2021-22,Bundesliga,Augsburg,RB Leipzig,1,1,D,0.19999999999999996,-0.20000000000000018,-0.6000000000000001,7.0,1.0,-0.40000000000000013,0.40000000000000013,1.4,1.2,0.4,0.2,16.0,1.6,1.8,0.4,0.0,9.0,16,True,False,False,False,False,6.5,4.75,1.45
2022-01-16,2021-22,Bundesliga,Augsburg,Ein Frankfurt,1,1,D,-0.8,-1.4000000000000001,-0.6000000000000001,6.0,0.0,-0.8,1.2000000000000002,1.2,1.4,0.2,0.4,16.0,2.6,2.0,0.6,0.2,10.0,19,True,False,False,False,False,3.3,3.5,2.15
2022-02-05,2021-22,Bundesliga,Augsburg,Union Berlin,2,0,H,-1.6,-0.5999999999999999,1.2,12.0,0.0,0.0,-0.6000000000000001,0.8,2.0,0.0,0.2,16.0,1.4,0.8,0.6,0.4,4.0,21,True,False,False,False,False,2.75,3.3,2.6
2022-02-19,2021-22,Bundesliga,Augsburg,Freiburg,1,2,A,-0.19999999999999996,0.19999999999999996,0.5999999999999999,10.0,0.0,-0.40000000000000013,-1.2,1.4,2.4,0.2,0.2,16.0,1.2,1.8,0.2,0.2,6.0,23,True,False,False,False,False,3.1,3.4,2.3
2022-02-27,2021-22,Bundesliga,Augsburg,Dortmund,1,1,D,-1.5999999999999999,-2.4,0.6000000000000001,14.0,1.0,-0.20000000000000018,1.5999999999999996,1.4,2.2,0.2,0.2,16.0,3.8,1.6,0.8,0.4,2.0,24,True,False,False,False,False,5.0,4.33,1.61
2022-04-03,2021-22,Bundesliga,Augsburg,Wolfsburg,3,0,H,0.0,0.19999999999999996,0.0,2.0,1.0,-0.40000000000000013,-0.6000000000000001,1.4,1.8,0.2,0.2,15.0,1.2,1.8,0.2,0.2,13.0,27,True,False,False,False,False,2.8,3.4,2.5
2022-04-06,2021-22,Bundesliga,Augsburg,Mainz,2,1,H,0.0,-0.19999999999999996,-0.19999999999999996,4.0,0.0,0.20000000000000018,0.6000000000000001,1.6,1.2,0.4,0.4,14.0,1.8,1.4,0.4,0.2,10.0,28,True,False,False,False,False,3.3,3.3,2.25
2022-04-16,2021-22,Bundesliga,Augsburg,Hertha,0,1,A,1.2000000000000002,0.40000000000000013,-1.4,-3.0,0.0,-0.7999999999999998,0.19999999999999996,1.6,1.0,0.6,0.4,14.0,1.2,2.4,0.2,0.2,17.0,30,True,False,False,False,False,1.9,3.5,4.2
2022-04-30,2021-22,Bundesliga,Augsburg,FC Koln,1,4,A,-0.19999999999999996,-0.6000000000000001,-0.6,7.0,-1.0,0.19999999999999996,1.4,1.4,0.6,0.6,0.4,14.0,2.0,1.2,0.6,0.0,7.0,32,True,False,False,False,False,2.8,3.25,2.6
2022-05-14,2021-22,Bundesliga,Augsburg,Greuther Furth,2,1,H,0.19999999999999996,0.0,0.0,-4.0,-1.0,-1.4,-1.4,0.6,2.0,0.2,0.2,14.0,0.6,2.0,0.0,0.2,18.0,34,True,False,False,False,False,1.55,4.75,5.0
2022-08-06,2022-23,Bundesliga,Augsburg,Freiburg,0,4,A,-0.19999999999999996,-1.4,-0.3999999999999999,-3.0,0.0,-1.4,0.3999999999999999,1.0,2.0,0.4,0.2,2.0,2.4,2.4,0.4,0.2,5.0,1,True,False,False,False,False,3.3,3.5,2.15
2022-08-20,2022-23,Bundesliga,Augsburg,Mainz,1,2,A,-1.0000000000000002,-0.8,1.7999999999999998,3.0,1.0,0.0,-0.9999999999999998,1.0,2.8,0.4,0.0,9.0,1.8,1.0,0.6,0.2,6.0,3,True,False,False,False,False,3.5,3.5,2.1
2022-09-04,2022-23,Bundesliga,Augsburg,Hertha,0,2,A,1.0,0.4,0.19999999999999996,-3.0,0.0,-0.6000000000000001,-1.2000000000000002,1.0,1.8,0.4,0.0,14.0,0.6,1.6,0.0,0.0,17.0,5,True,False,False,False,False,2.45,3.3,2.87
2022-09-17,2022-23,Bundesliga,Augsburg,Bayern Munich,1,0,H,-0.6000000000000001,-1.8,0.3999999999999999,11.0,1.0,0.0,1.4000000000000001,0.8,1.2,0.4,0.2,14.0,2.6,0.8,0.4,0.4,3.0,7,True,False,False,False,False,17.0,8.0,1.16
